Name-AP,Time,Frekuensi(Ghz),Clients,Channels,Configured-Rate,Usage-Traffic(GB),Throughput(Bytes),Transmit-Power(dBm),Noise,Channel-Utilization,Interference,Traffic,Air-Quality
AP-F1-1-1-3-R.105,10:00,"2,4",1,13,"Min 1 Mbps, Max  289 Mbps",12,1000,17,-94,0.1600,0.1000,0.0600,none
AP-F1-1-1-3-R.105,10:00,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,885,20,-92,0.0500,0.0500,0.0000,none
AP-F1-Dasar,10:00,"2,4",1,4,"Min 1 Mbps, Max  217 Mbps",20,17000,18,-93,0.2700,0.2600,0.0100,99
AP-F1-Dasar,10:00,5,3,149,"Min 6 Mbps, Max  217 Mbps",6,1000000,23,-91,0.3100,0.2300,0.0800,100
AP-F1-2,10:00,"2,4",4,9,"Min 1 Mbps, Max  217 Mbps",19,242000,20,-92,0.5400,0.5200,0.0200,90
AP-F1-2,10:00,5,17,161,"Min 6 Mbps, Max  289 Mbps",26,368000,23,-98,0.3000,0.0000,0.3000,98
AP-F1-2-2,10:00,"2,4",7,1,"Min 1 Mbps, Max  217 Mbps",28,38000,20,-90,0.6000,0.5900,0.0200,98
AP-F1-2-2,10:00,5,7,153,"Min 6 Mbps, Max  289 Mbps",4,227000,23,-95,0.0000,0.0000,0.0000,100
AP-F1-1,10:00,"2,4",2,9,"Min 1 Mbps, Max  217 Mbps",27,362000,18,-94,0.3800,0.3500,0.0300,98
AP-F1-1,10:00,5,2,161,"Min 6 Mbps, Max  217 Mbps",20,10000,23,-92,0.0100,0.0100,0.0000,100
AP-F1-Dasar-2,10:00,"2,4",1,1,"Min 1 Mbps, Max  217 Mbps",37,24000,17,-98,0.4500,0.4400,0.0100,98
AP-F1-Dasar-2,10:00,5,1,161,"Min 6 Mbps, Max  289 Mbps",22,24000,23,-97,0.0500,0.0500,0.0000,99
AP-F1-1-2,10:00,"2,4",2,4,"Min 1 Mbps, Max  217 Mbps",22,81000,30,-99,0.5500,0.4100,0.0300,96
AP-F1-1-2,10:00,5,0,161,"Min 6 Mbps, Max  289 Mbps",30,28000,23,-98,0.0700,0.0700,0.0000,99
AP-F1-2-4-Lab.KomputerTE,10:00,"2,4",2,4,"Min 1 Mbps, Max  289 Mbps",6,5000,17,-90,0.1200,0.0600,0.0600,none
AP-F1-2-4-Lab.KomputerTE,10:00,5,17,157,"Min 6 Mbps, Max  289 Mbps",24,64000,20,-94,0.0300,0.0200,0.0100,none
AP-F1-2-3-R.KuliahTE,10:00,"2,4",3,8,"Min 1 Mbps, Max  289 Mbps",17,214000,17,-91,0.3800,0.2700,0.1100,none
AP-F1-2-3-R.KuliahTE,10:00,5,2,149,"Min 6 Mbps, Max  289 Mbps",27,34000,20,-91,0.0500,0.0400,0.0100,none
AP-F1-1-1-3-R.105,10:10,"2,4",1,13,"Min 1 Mbps, Max  289 Mbps",12,8000,17,-94,0.2000,0.1400,0.0600,none
AP-F1-1-1-3-R.105,10:10,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,2000,20,-92,0.0500,0.0500,0.0000,none
AP-F1-Dasar,10:10,"2,4",0,4,"Min 1 Mbps, Max  217 Mbps",20,10000,18,-93,0.2100,0.2000,0.0100,99
AP-F1-Dasar,10:10,5,3,149,"Min 6 Mbps, Max  217 Mbps",7,647000,23,-91,0.3000,0.2200,0.0800,100
AP-F1-2-2,10:10,"2,4",6,1,"Min 1 Mbps, Max  217 Mbps",28,46000,20,-95,0.7600,0.7400,0.0200,98
AP-F1-2-2,10:10,5,16,153,"Min 6 Mbps, Max  289 Mbps",5,262000,23,-96,0.0000,0.0000,0.0000,100
AP-F1-1,10:10,"2,4",4,9,"Min 1 Mbps, Max  217 Mbps",28,477000,18,-91,0.3600,0.3300,0.0300,99
AP-F1-1,10:10,5,1,161,"Min 6 Mbps, Max  217 Mbps",20,9000,23,-92,0.0100,0.0100,0.0000,100
AP-F1-2,10:10,"2,4",6,9,"Min 1 Mbps, Max  217 Mbps",19,259000,20,-89,0.5600,0.5400,0.0200,90
AP-F1-2,10:10,5,4,161,"Min 6 Mbps, Max  289 Mbps",26,264000,23,-98,0.0000,0.0000,0.0000,100
AP-F1-Dasar-2,10:10,"2,4",2,1,"Min 1 Mbps, Max  217 Mbps",37,201000,17,-99,0.4600,0.4500,0.0100,98
AP-F1-Dasar-2,10:10,5,0,161,"Min 6 Mbps, Max  289 Mbps",22,131000,23,-97,0.0900,0.0900,0.0000,99
AP-F1-1-2,10:10,"2,4",2,4,"Min 1 Mbps, Max  217 Mbps",22,172000,30,-94,0.3200,0.3100,0.0100,96
AP-F1-1-2,10:10,5,0,161,"Min 6 Mbps, Max  289 Mbps",30,27000,23,-97,0.1100,0.1100,0.0000,99
AP-F1-2-4-Lab.KomputerTE,10:10,"2,4",2,4,"Min 1 Mbps, Max  289 Mbps",6,5000,17,-90,0.1200,0.0600,0.0600,none
AP-F1-2-4-Lab.KomputerTE,10:10,5,16,157,"Min 6 Mbps, Max  289 Mbps",24,23000,20,-93,0.0300,0.0100,0.0200,none
AP-F1-2-3-R.KuliahTE,10:10,"2,4",3,8,"Min 1 Mbps, Max  289 Mbps",17,163000,17,-91,0.2800,0.1900,0.0900,none
AP-F1-2-3-R.KuliahTE,10:10,5,2,149,"Min 6 Mbps, Max  289 Mbps",27,120000,20,-92,0.0400,0.0300,0.0100,none
AP-F1-1-1-3-R.105,10:20,"2,4",2,13,"Min 1 Mbps, Max  289 Mbps",12,466,17,-94,0.2100,0.1100,0.1000,none
AP-F1-1-1-3-R.105,10:20,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,2000,20,-92,0.0500,0.0500,0.0000,none
AP-F1-Dasar,10:20,"2,4",1,4,"Min 1 Mbps, Max  217 Mbps",20,9000,18,-93,0.2200,0.2100,0.0100,98
AP-F1-Dasar,10:20,5,3,149,"Min 6 Mbps, Max  217 Mbps",7,142000,23,-91,0.0200,0.0200,0.0000,100
AP-F1-2-2,10:20,"2,4",1,1,"Min 1 Mbps, Max  217 Mbps",28,27000,20,-86,0.5500,0.5300,0.0200,98
AP-F1-2-2,10:20,5,9,153,"Min 6 Mbps, Max  289 Mbps",5,2000000,23,-95,0.0000,0.0000,0.0000,99
AP-F1-2,10:20,"2,4",3,9,"Min 1 Mbps, Max  217 Mbps",19,39000,20,-96,0.5200,0.5100,0.0100,88
AP-F1-2,10:20,5,2,161,"Min 6 Mbps, Max  289 Mbps",26,40000,23,-98,0.0000,0.0000,0.0000,99
AP-F1-1,10:20,"2,4",1,9,"Min 1 Mbps, Max  217 Mbps",28,284000,18,-88,0.2700,0.2500,0.0200,99
AP-F1-1,10:20,5,1,161,"Min 6 Mbps, Max  217 Mbps",20,9000,23,-91,0.0100,0.0100,0.0000,100
AP-F1-Dasar-2,10:20,"2,4",3,1,"Min 1 Mbps, Max  217 Mbps",37,27000,17,-96,0.4300,0.4200,0.0100,98
AP-F1-Dasar-2,10:20,5,0,161,"Min 6 Mbps, Max  289 Mbps",22,22000,23,-97,0.0500,0.0500,0.0000,99
AP-F1-1-2,10:20,"2,4",3,4,"Min 1 Mbps, Max  217 Mbps",22,378000,20,-87,0.3700,0.3600,0.0100,96
AP-F1-1-2,10:20,5,0,161,"Min 6 Mbps, Max  289 Mbps",30,27000,23,-98,0.0600,0.0600,0.0000,98
AP-F1-2-4-Lab.KomputerTE,10:20,"2,4",2,4,"Min 1 Mbps, Max  289 Mbps",6,3000,17,-89,0.1100,0.0600,0.0500,none
AP-F1-2-4-Lab.KomputerTE,10:20,5,16,157,"Min 6 Mbps, Max  289 Mbps",24,29000,20,-93,0.0200,0.0100,0.0100,none
AP-F1-2-3-R.KuliahTE,10:20,"2,4",3,8,"Min 1 Mbps, Max  289 Mbps",17,184000,17,-91,0.2200,0.1300,0.0900,none
AP-F1-2-3-R.KuliahTE,10:20,5,2,149,"Min 6 Mbps, Max  289 Mbps",27,19000,20,-91,0.0400,0.0300,0.0100,none
AP-F1-2,10:30,"2,4",1,9,"Min 1 Mbps, Max  217 Mbps",19,17000,20,-98,0.6500,0.6200,0.0300,91
AP-F1-2,10:30,5,0,161,"Min 6 Mbps, Max  289 Mbps",26,25000,23,-98,0.0000,0.0000,0.0000,99
AP-F1-1-1-3-R.105,10:30,"2,4",1,13,"Min 1 Mbps, Max  289 Mbps",13,4000,17,-94,0.1600,0.1000,0.0600,none
AP-F1-1-1-3-R.105,10:30,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,1000,20,-92,0.0500,0.0500,0.0000,none
AP-F1-Dasar,10:30,"2,4",0,4,"Min 1 Mbps, Max  217 Mbps",20,9000,18,-93,0.2400,0.2300,0.0100,98
AP-F1-Dasar,10:30,5,3,149,"Min 6 Mbps, Max  217 Mbps",7,3000,23,-91,0.0400,0.0400,0.0000,100
AP-F1-2-2,10:30,"2,4",1,1,"Min 1 Mbps, Max  217 Mbps",28,28000,20,-98,0.6300,0.6200,0.0100,98
AP-F1-2-2,10:30,5,0,153,"Min 6 Mbps, Max  289 Mbps",5,954,23,-96,0.0000,0.0000,0.0000,99
AP-F1-1,10:30,"2,4",2,9,"Min 1 Mbps, Max  217 Mbps",28,109000,18,-90,0.2800,0.2700,0.0100,99
AP-F1-1,10:30,5,1,161,"Min 6 Mbps, Max  217 Mbps",20,8000,23,-93,0.0200,0.0200,0.0000,100
AP-F1-Dasar-2,10:30,"2,4",3,1,"Min 1 Mbps, Max  217 Mbps",37,101000,17,-86,0.5700,0.5500,0.0200,97
AP-F1-Dasar-2,10:30,5,1,161,"Min 6 Mbps, Max  289 Mbps",22,41000,23,-97,0.0500,0.0500,0.0000,99
AP-F1-1-2,10:30,"2,4",2,4,"Min 1 Mbps, Max  217 Mbps",23,655000,20,-83,0.5200,0.4400,0.0800,96
AP-F1-1-2,10:30,5,0,161,"Min 6 Mbps, Max  289 Mbps",30,30000,23,-98,0.0600,0.0600,0.0000,99
AP-F1-2-4-Lab.KomputerTE,10:30,"2,4",4,4,"Min 1 Mbps, Max  289 Mbps",6,4000,17,-90,0.1100,0.0500,0.0600,none
AP-F1-2-4-Lab.KomputerTE,10:30,5,16,157,"Min 6 Mbps, Max  289 Mbps",24,49000,20,-93,0.5900,0.5800,0.0100,none
AP-F1-2-3-R.KuliahTE,10:30,"2,4",3,8,"Min 1 Mbps, Max  289 Mbps",17,141000,17,-91,0.2600,0.1700,0.0900,none
AP-F1-2-3-R.KuliahTE,10:30,5,2,149,"Min 6 Mbps, Max  289 Mbps",27,69000,20,-92,0.0600,0.0500,0.0100,none
AP-F1-1-1-3-R.105,10:40,"2,4",1,13,"Min 1 Mbps, Max  289 Mbps",13,7000,17,-94,0.1600,0.1000,0.0600,none
AP-F1-1-1-3-R.105,10:40,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,1000,20,-92,0.0700,0.0700,0.0000,none
AP-F1-Dasar,10:40,"2,4",1,4,"Min 1 Mbps, Max  217 Mbps",20,10000,18,-86,0.2800,0.2700,0.0100,98
AP-F1-Dasar,10:40,5,4,149,"Min 6 Mbps, Max  217 Mbps",7,76000,23,-90,0.0200,0.0100,0.0100,100
AP-F1-2,10:40,"2,4",2,9,"Min 1 Mbps, Max  217 Mbps",19,124000,20,-94,0.8400,0.7600,0.0800,91
AP-F1-2,10:40,5,0,161,"Min 6 Mbps, Max  289 Mbps",27,25000,23,-98,0.0000,0.0000,0.0000,99
AP-F1-2-2,10:40,"2,4",1,1,"Min 1 Mbps, Max  217 Mbps",28,29000,20,-95,0.6300,0.6100,0.0200,98
AP-F1-2-2,10:40,5,0,153,"Min 6 Mbps, Max  289 Mbps",5,2000,23,-96,0.0000,0.0000,0.0000,99
AP-F1-1,10:40,"2,4",1,9,"Min 1 Mbps, Max  217 Mbps",28,14000,18,-90,0.4000,0.3800,0.0200,99
AP-F1-1,10:40,5,1,161,"Min 6 Mbps, Max  217 Mbps",20,31000,23,-91,0.0300,0.0300,0.0000,100
AP-F1-Dasar-2,10:40,"2,4",2,1,"Min 1 Mbps, Max  217 Mbps",37,28000,17,-94,0.4800,0.4700,0.0100,97
AP-F1-Dasar-2,10:40,5,1,161,"Min 6 Mbps, Max  289 Mbps",22,23000,23,-98,0.0800,0.0800,0.0000,99
AP-F1-1-2,10:40,"2,4",2,4,"Min 1 Mbps, Max  217 Mbps",23,197000,20,-98,0.5700,0.5500,0.0200,96
AP-F1-1-2,10:40,5,0,161,"Min 6 Mbps, Max  289 Mbps",30,27000,23,-98,0.1400,0.1400,0.0000,99
AP-F1-2-4-Lab.KomputerTE,10:40,"2,4",4,4,"Min 1 Mbps, Max  289 Mbps",6,6000,17,-90,0.1300,0.0600,0.0700,none
AP-F1-2-4-Lab.KomputerTE,10:40,5,16,157,"Min 6 Mbps, Max  289 Mbps",24,487000,20,-94,0.1500,0.1400,0.0100,none
AP-F1-2-3-R.KuliahTE,10:40,"2,4",2,8,"Min 1 Mbps, Max  289 Mbps",17,11000,17,-91,0.3100,0.2300,0.0800,none
AP-F1-2-3-R.KuliahTE,10:40,5,1,149,"Min 6 Mbps, Max  289 Mbps",27,13000,20,-92,0.0400,0.0300,0.0100,none
AP-F1-2,10:50,"2,4",1,9,"Min 1 Mbps, Max  289 Mbps",19,23000,20,-93,0.6100,0.5900,0.0200,93
AP-F1-2,10:50,5,0,161,"Min 6 Mbps, Max  289 Mbps",27,27000,23,-98,0.0000,0.0000,0.0000,99
AP-F1-1-1-3-R.105,10:50,"2,4",2,13,"Min 1 Mbps, Max  289 Mbps",13,5000,17,-94,0.1700,0.1100,0.0600,none
AP-F1-1-1-3-R.105,10:50,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,3000,20,-92,0.0600,0.0600,0.0000,none
AP-F1-Dasar,10:50,"2,4",1,4,"Min 1 Mbps, Max  217 Mbps",20,10000,18,-92,0.3400,0.3200,0.0200,97
AP-F1-Dasar,10:50,5,4,149,"Min 6 Mbps, Max  217 Mbps",7,28000,23,-91,0.0100,0.0100,0.0000,100
AP-F1-2-2,10:50,"2,4",1,1,"Min 1 Mbps, Max  217 Mbps",28,24000,20,-96,0.5800,0.5600,0.0200,98
AP-F1-2-2,10:50,5,1,153,"Min 6 Mbps, Max  289 Mbps",5,2000,23,-96,0.0000,0.0000,0.0000,99
AP-F1-1,10:50,"2,4",2,9,"Min 1 Mbps, Max  217 Mbps",28,34000,18,-92,0.8300,0.8200,0.0100,99
AP-F1-1,10:50,5,1,161,"Min 6 Mbps, Max  217 Mbps",20,9000,23,-93,0.0100,0.0100,0.0000,100
AP-F1-Dasar-2,10:50,"2,4",4,1,"Min 1 Mbps, Max  217 Mbps",37,142000,17,-90,0.4800,0.4600,0.0200,98
